"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"weight"
"mRNA:Solyc00g160260.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160270.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500003.1.1"	0.301976130816317	-0.832203262347382	1.97801618054151	-0.42072621575803	0.673955015624505	1	0
"mRNA:Solyc00g500004.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500005.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500006.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500007.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500008.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500009.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500010.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500011.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500013.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500014.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500015.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc02g010630.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc02g010600.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500016.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500017.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500018.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g014290.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g005280.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500019.1.1"	0.632410422553737	1.35790071837944	2.76477924516774	0.491142546282046	0.623325631268223	1	0
"mRNA:Solyc00g500020.1.1"	0.158463079402904	-0.464107079810141	2.66103575309602	-0.174408434486523	0.861544486147863	1	0
"mRNA:Solyc00g500021.1.1"	0.137899982214174	-1.45667941854448	2.80116703749708	-0.52002590314859	0.603045521108844	1	0
"mRNA:Solyc00g500022.1.1"	1.08069760801742	0.434689554358014	1.30079300242432	0.334172734284296	0.73824921738322	1	0.0904854729305704
"mRNA:Solyc00g180440.2.1"	0.301650638607578	-0.397793283150688	1.80107329417349	-0.220864572495499	0.825197883260535	1	0
"mRNA:Solyc00g500023.1.1"	27.9072485941155	0.980771642510657	0.318312330544698	3.08116132614893	0.00206194897298916	0.0142450104181257	1.50692313355232
"mRNA:Solyc00g500024.1.1"	0.380164279985173	-0.0866684319683974	1.72173178352842	-0.0503379404373798	0.959853089982356	1	0
"mRNA:Solyc00g500025.1.1"	0.710361706259746	2.40646533985439	1.23971847411919	1.94113856499892	0.0522414724263985	1	0
"mRNA:Solyc00g500026.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500028.1.1"	0.466383395866962	-1.49577404041042	1.56673497701858	-0.954707759991936	0.339725504510824	1	0
"mRNA:Solyc00g500029.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500030.1.1"	0.0495445160111123	-0.951635800775922	3.10626663461698	-0.306359985382666	0.759330571549257	1	0
"mRNA:Solyc00g500031.1.1"	0.547106360270232	-0.851480023853162	1.65433947600823	-0.514694859308869	0.606766266266651	1	0
"mRNA:Solyc00g500032.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500033.1.1"	0.377257634897178	1.15303075518739	1.53700887737517	0.750178331537342	0.453147307334141	1	0
"mRNA:Solyc00g500034.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500035.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500036.1.1"	0.180945852918504	-0.975778663693402	2.99859626693845	-0.325411818340475	0.744869412104736	1	0
"mRNA:Solyc00g500037.1.1"	0.560811429754892	-0.338663085160661	1.43202623212107	-0.236492235661804	0.813050731478959	1	0
